"","year","wave","us_regular","east_coast_regular","new_england_regular","central_atlantic_regular","lower_atlantic_regular","gulf_coast_regular","fl_regular","ma_regular","ny_regular","tx_regular"
"21",2011,1,3.14644444444444,3.14722222222222,3.20977777777778,3.18955555555556,3.097,2.99677777777778,3.13188888888889,3.14311111111111,3.36311111111111,2.98888888888889
"22",2012,1,3.46855555555556,3.52188888888889,3.567,3.54488888888889,3.49111111111111,3.31588888888889,3.51744444444444,3.48,3.718,3.32388888888889
"23",2013,1,3.49425,3.567875,3.636625,3.627875,3.502375,3.315,3.54975,3.55325,3.816375,3.330625
"24",2014,1,3.334375,3.398875,3.496375,3.482625,3.30725,3.122875,3.360375,3.42425,3.629875,3.126875
"25",2015,1,2.166,2.2135,2.260375,2.304625,2.13125,1.953125,2.163,2.20675,2.460375,1.946875
"26",2016,1,1.84577777777778,1.84411111111111,1.88733333333333,1.91988888888889,1.77477777777778,1.61566666666667,1.80077777777778,1.85855555555556,2.01644444444444,1.61344444444444
"27",2017,1,2.329,2.333,2.323,2.45888888888889,2.242,2.10666666666667,2.28522222222222,2.26522222222222,2.44711111111111,2.10355555555556
"28",2018,1,2.56911111111111,2.55122222222222,2.58733333333333,2.68144444444444,2.44322222222222,2.293,2.49677777777778,2.56188888888889,2.649,2.28111111111111
"29",2019,1,2.2785,2.2525,2.339625,2.398875,2.13575,1.965,2.193625,2.3785,2.421125,1.954
"30",2020,1,2.494875,2.44125,2.5025,2.581875,2.33625,2.17925,2.390625,2.521375,2.580875,2.15125
"31",1991,2,1.06011111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1992,2,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1993,2,1.06366666666667,1.04144444444444,1.07275,1.07425,1.03525,1.05888888888889,NA,NA,NA,NA
"34",1994,2,1.0175,0.9995,1.03575,1.0325,0.979,0.996875,NA,NA,NA,NA
"35",1995,2,1.091625,1.0795,1.1445,1.127625,1.042125,1.0895,NA,NA,NA,NA
"36",1996,2,1.189,1.16133333333333,1.21977777777778,1.196,1.13255555555556,1.17511111111111,NA,NA,NA,NA
"37",1997,2,1.20233333333333,1.20177777777778,1.27555555555556,1.23788888888889,1.16888888888889,1.18233333333333,NA,NA,NA,NA
"38",1998,2,1.02277777777778,1.012,1.07244444444444,1.04588888888889,0.982333333333333,1.00133333333333,NA,NA,NA,NA
"39",1999,2,1.04822222222222,0.986222222222222,1.03433333333333,1.01811111111111,0.959,0.973333333333333,NA,NA,NA,NA
"40",2000,2,1.4905,1.476125,1.5295,1.518125,1.442625,1.444625,NA,NA,NA,NA
"41",2001,2,1.48833333333333,1.44933333333333,1.49744444444444,1.48555555555556,1.41966666666667,1.41588888888889,NA,NA,1.54377777777778,1.40833333333333
"42",2002,2,1.33133333333333,1.29533333333333,1.32977777777778,1.31966666666667,1.26677777777778,1.26488888888889,NA,NA,1.38911111111111,1.26566666666667
"43",2003,2,1.64677777777778,1.59777777777778,1.65188888888889,1.646,1.54555555555556,1.53822222222222,NA,NA,1.745,1.536
"44",2004,2,1.76344444444444,1.72633333333333,1.73955555555556,1.75311111111111,1.70244444444444,1.64488888888889,1.77,1.71766666666667,1.86488888888889,1.62677777777778
"45",2005,2,2.160875,2.123125,2.11275,2.118,2.130375,2.07425,2.184625,2.072,2.20425,2.049875
"46",2006,2,2.583375,2.57825,2.54825,2.58275,2.584375,2.549875,2.62775,2.497,2.701375,2.543
"47",2007,2,2.71955555555556,2.68488888888889,2.70111111111111,2.71833333333333,2.655,2.58111111111111,2.71211111111111,2.63344444444444,2.86377777777778,2.57122222222222
"48",2008,2,3.33911111111111,3.31288888888889,3.28211111111111,3.31044444444444,3.32355555555556,3.24688888888889,3.36688888888889,3.19344444444444,3.43255555555556,3.24322222222222
"49",2009,2,1.99877777777778,1.98177777777778,1.97966666666667,1.99811111111111,1.97011111111111,1.90388888888889,2.028,1.92777777777778,2.113,1.89311111111111
"50",2010,2,2.80566666666667,2.78311111111111,2.79622222222222,2.79477777777778,2.77066666666667,2.69455555555556,2.818,2.72244444444444,2.91911111111111,2.68066666666667
"51",2011,2,3.680375,3.6455,3.688875,3.6705,3.61375,3.548,3.64775,3.5945,3.8415,3.560375
"52",2012,2,3.87877777777778,3.85811111111111,3.89611111111111,3.88222222222222,3.82844444444444,3.72922222222222,3.85555555555556,3.80377777777778,4.04022222222222,3.74644444444444
"53",2013,2,3.63288888888889,3.61388888888889,3.67044444444444,3.64688888888889,3.57233333333333,3.449,3.58688888888889,3.58822222222222,3.83355555555556,3.47366666666667
"54",2014,2,3.58988888888889,3.56933333333333,3.62755555555556,3.618,3.51522222222222,3.36333333333333,3.58366666666667,3.54788888888889,3.76633333333333,3.37677777777778
"55",2015,2,2.466,2.40077777777778,2.42633333333333,2.47211111111111,2.33988888888889,2.21766666666667,2.43911111111111,2.37433333333333,2.57666666666667,2.23033333333333
"56",2016,2,2.04075,1.98875,2.0105,2.035,1.947625,1.818,1.983875,1.970875,2.09275,1.823375
"57",2017,2,2.371125,2.32375,2.30425,2.4275,2.2515,2.13875,2.30775,2.26525,2.40775,2.145125
"58",2018,2,2.68333333333333,2.63155555555556,2.64488888888889,2.73977777777778,2.54644444444444,2.41322222222222,2.57011111111111,2.61355555555556,2.72422222222222,2.40855555555556
"59",2019,2,2.67288888888889,2.60022222222222,2.57711111111111,2.708,2.53811111111111,2.40333333333333,2.61077777777778,2.55266666666667,2.67533333333333,2.405
"60",2020,2,2.05922222222222,2.04033333333333,2.08633333333333,2.22088888888889,1.91333333333333,1.78288888888889,1.98455555555556,2.11166666666667,2.26644444444444,1.74666666666667
"61",1991,3,1.127,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",1992,3,1.12811111111111,1.105125,NA,NA,NA,1.110875,NA,NA,NA,NA
"63",1993,3,1.099,1.07311111111111,1.09622222222222,1.09411111111111,1.06011111111111,1.09188888888889,NA,NA,NA,NA
"64",1994,3,1.061,1.03322222222222,1.06722222222222,1.07022222222222,1.01133333333333,1.03644444444444,NA,NA,NA,NA
"65",1995,3,1.18422222222222,1.18422222222222,1.23322222222222,1.22433333333333,1.154,1.189,NA,NA,NA,NA
"66",1996,3,1.26825,1.247125,1.32,1.29225,1.209875,1.242375,NA,NA,NA,NA
"67",1997,3,1.19877777777778,1.17688888888889,1.24433333333333,1.22155555555556,1.14066666666667,1.16066666666667,NA,NA,NA,NA
"68",1998,3,1.064,1.02555555555556,1.07955555555556,1.071,0.989666666666667,1.00066666666667,NA,NA,NA,NA
