"state","variable","value"
"Alaska","1986",28.6
"California","1986",30.8
"Connecticut","1986",33.5
"Delaware","1986",31.4
"Florida","1986",35.6
"Georgia","1986",30.5
"Hawaii","1986",30.8
"Louisiana","1986",29.3
"Maine","1986",32.6
"Maryland","1986",32.1
"Massachusetts","1986",32.5
"Mississippi","1986",29.3
"New Hampshire","1986",32.1
"New Jersey","1986",33.7
"New York","1986",33
"North Carolina","1986",31.6
"Oregon","1986",33
"Rhode Island","1986",33
"South Carolina","1986",30.3
"Texas","1986",29.6
"Virginia","1986",31.5
"Washington","1986",31.9
"United States","1987",32
"Alabama","1987",31.7
"Alaska","1987",28.6
"California","1987",31
"Connecticut","1987",33.7
"Delaware","1987",31.8
"Florida","1987",35.7
"Georgia","1987",30.8
"Hawaii","1987",31.2
"Louisiana","1987",29.6
"Maine","1987",33
"Maryland","1987",32.3
"Massachusetts","1987",32.7
"Mississippi","1987",29.8
"New Hampshire","1987",32.3
"New Jersey","1987",33.8
"New York","1987",33.2
"North Carolina","1987",32
"Oregon","1987",33.5
"Rhode Island","1987",33.2
"South Carolina","1987",30.7
"Texas","1987",29.9
"Virginia","1987",31.7
"Washington","1987",32.2
"United States","1988",32.3
"Alabama","1988",32.1
"Alaska","1988",29
"California","1988",31.1
"Connecticut","1988",33.9
"Delaware","1988",32.1
"Florida","1988",35.9
"Georgia","1988",31
"Hawaii","1988",31.7
"Louisiana","1988",30
"Maine","1988",33.3
"Maryland","1988",32.5
"Massachusetts","1988",33
"Mississippi","1988",30.3
"New Hampshire","1988",32.4
"New Jersey","1988",34
"New York","1988",33.3
"North Carolina","1988",32.4
"Oregon","1988",33.9
"Rhode Island","1988",33.4
"South Carolina","1988",31.1
"Texas","1988",30.1
"Virginia","1988",32
"Washington","1988",32.5
"United States","1989",32.6
"Alabama","1989",32.6
"Alaska","1989",29.2
"California","1989",31.3
"Connecticut","1989",34.1
"Delaware","1989",32.5
"Florida","1989",36
"Georgia","1989",31.2
"Hawaii","1989",32.1
"Louisiana","1989",30.5
"Maine","1989",33.6
"Maryland","1989",32.7
"Massachusetts","1989",33.2
"Mississippi","1989",30.7
"New Hampshire","1989",32.6
"New Jersey","1989",34.2
