Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1993,MARCH/APRIL,NORTH CAROLINA,ATLANTIC CROAKER,13665,77
FINAL,1993,MARCH/APRIL,SOUTH CAROLINA,ATLANTIC CROAKER,6033,105.1
FINAL,1993,MAY/JUNE,DELAWARE,ATLANTIC CROAKER,0,.
FINAL,1993,MAY/JUNE,FLORIDA,ATLANTIC CROAKER,176722,51.9
FINAL,1993,MAY/JUNE,GEORGIA,ATLANTIC CROAKER,27131,47.9
FINAL,1993,MAY/JUNE,MARYLAND,ATLANTIC CROAKER,211569,65.8
FINAL,1993,MAY/JUNE,NORTH CAROLINA,ATLANTIC CROAKER,345421,23.1
FINAL,1993,MAY/JUNE,SOUTH CAROLINA,ATLANTIC CROAKER,1897,91.8
FINAL,1993,MAY/JUNE,VIRGINIA,ATLANTIC CROAKER,6125337,20.3
FINAL,1993,JULY/AUGUST,DELAWARE,ATLANTIC CROAKER,1433,45.4
FINAL,1993,JULY/AUGUST,FLORIDA,ATLANTIC CROAKER,245764,46.9
FINAL,1993,JULY/AUGUST,GEORGIA,ATLANTIC CROAKER,130470,74.7
FINAL,1993,JULY/AUGUST,MARYLAND,ATLANTIC CROAKER,469848,32.8
FINAL,1993,JULY/AUGUST,NEW JERSEY,ATLANTIC CROAKER,6517,85.7
FINAL,1993,JULY/AUGUST,NORTH CAROLINA,ATLANTIC CROAKER,659674,24.1
FINAL,1993,JULY/AUGUST,SOUTH CAROLINA,ATLANTIC CROAKER,21525,51.7
FINAL,1993,JULY/AUGUST,VIRGINIA,ATLANTIC CROAKER,5711392,19.1
FINAL,1993,SEPTEMBER/OCTOBER,DELAWARE,ATLANTIC CROAKER,32098,33
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,ATLANTIC CROAKER,275180,35.1
FINAL,1993,SEPTEMBER/OCTOBER,GEORGIA,ATLANTIC CROAKER,59133,27
FINAL,1993,SEPTEMBER/OCTOBER,MARYLAND,ATLANTIC CROAKER,296018,64.2
FINAL,1993,SEPTEMBER/OCTOBER,NORTH CAROLINA,ATLANTIC CROAKER,332043,25.9
FINAL,1993,SEPTEMBER/OCTOBER,SOUTH CAROLINA,ATLANTIC CROAKER,24096,78.6
FINAL,1993,SEPTEMBER/OCTOBER,VIRGINIA,ATLANTIC CROAKER,994707,35.8
FINAL,1993,NOVEMBER/DECEMBER,FLORIDA,ATLANTIC CROAKER,382662,51.9
FINAL,1993,NOVEMBER/DECEMBER,GEORGIA,ATLANTIC CROAKER,17916,73.2
FINAL,1993,NOVEMBER/DECEMBER,NORTH CAROLINA,ATLANTIC CROAKER,239392,61.1
FINAL,1994,JANUARY/FEBRUARY,FLORIDA,ATLANTIC CROAKER,15859,71.1
FINAL,1994,MARCH/APRIL,FLORIDA,ATLANTIC CROAKER,102380,37.3
FINAL,1994,MARCH/APRIL,GEORGIA,ATLANTIC CROAKER,8983,87
FINAL,1994,MARCH/APRIL,NORTH CAROLINA,ATLANTIC CROAKER,11914,49.6
FINAL,1994,MARCH/APRIL,SOUTH CAROLINA,ATLANTIC CROAKER,85528,50.5
FINAL,1994,MARCH/APRIL,VIRGINIA,ATLANTIC CROAKER,391751,56.4
FINAL,1994,MAY/JUNE,FLORIDA,ATLANTIC CROAKER,128742,48
FINAL,1994,MAY/JUNE,GEORGIA,ATLANTIC CROAKER,91406,46.8
FINAL,1994,MAY/JUNE,MARYLAND,ATLANTIC CROAKER,1079119,42.8
FINAL,1994,MAY/JUNE,NORTH CAROLINA,ATLANTIC CROAKER,367281,19
FINAL,1994,MAY/JUNE,SOUTH CAROLINA,ATLANTIC CROAKER,37836,57.7
FINAL,1994,MAY/JUNE,VIRGINIA,ATLANTIC CROAKER,6681872,20.4
FINAL,1994,JULY/AUGUST,DELAWARE,ATLANTIC CROAKER,3373,44.3
FINAL,1994,JULY/AUGUST,FLORIDA,ATLANTIC CROAKER,1022896,35.2
FINAL,1994,JULY/AUGUST,GEORGIA,ATLANTIC CROAKER,46822,35.5
FINAL,1994,JULY/AUGUST,MARYLAND,ATLANTIC CROAKER,1183541,30.3
FINAL,1994,JULY/AUGUST,NEW JERSEY,ATLANTIC CROAKER,3978,100.2
FINAL,1994,JULY/AUGUST,NORTH CAROLINA,ATLANTIC CROAKER,1119830,21
FINAL,1994,JULY/AUGUST,SOUTH CAROLINA,ATLANTIC CROAKER,70187,47.8
FINAL,1994,JULY/AUGUST,VIRGINIA,ATLANTIC CROAKER,4263209,13.7
FINAL,1994,SEPTEMBER/OCTOBER,DELAWARE,ATLANTIC CROAKER,5184,50
FINAL,1994,SEPTEMBER/OCTOBER,FLORIDA,ATLANTIC CROAKER,242076,55.4
FINAL,1994,SEPTEMBER/OCTOBER,GEORGIA,ATLANTIC CROAKER,23111,42.6
FINAL,1994,SEPTEMBER/OCTOBER,MARYLAND,ATLANTIC CROAKER,292916,62.6
FINAL,1994,SEPTEMBER/OCTOBER,NEW JERSEY,ATLANTIC CROAKER,0,.
FINAL,1994,SEPTEMBER/OCTOBER,NORTH CAROLINA,ATLANTIC CROAKER,387545,21.9
FINAL,1994,SEPTEMBER/OCTOBER,SOUTH CAROLINA,ATLANTIC CROAKER,118806,60.3
FINAL,1994,SEPTEMBER/OCTOBER,VIRGINIA,ATLANTIC CROAKER,650084,21.8
FINAL,1994,NOVEMBER/DECEMBER,DELAWARE,ATLANTIC CROAKER,38,98.6
FINAL,1994,NOVEMBER/DECEMBER,FLORIDA,ATLANTIC CROAKER,184751,55
FINAL,1994,NOVEMBER/DECEMBER,MARYLAND,ATLANTIC CROAKER,0,.
FINAL,1994,NOVEMBER/DECEMBER,NORTH CAROLINA,ATLANTIC CROAKER,35278,43.2
FINAL,1994,NOVEMBER/DECEMBER,VIRGINIA,ATLANTIC CROAKER,1292,100.4
FINAL,1995,JANUARY/FEBRUARY,FLORIDA,ATLANTIC CROAKER,51383,62.3
FINAL,1995,MARCH/APRIL,FLORIDA,ATLANTIC CROAKER,129610,64.7
FINAL,1995,MARCH/APRIL,GEORGIA,ATLANTIC CROAKER,16040,22.9
FINAL,1995,MARCH/APRIL,NORTH CAROLINA,ATLANTIC CROAKER,31530,59.6
FINAL,1995,MARCH/APRIL,VIRGINIA,ATLANTIC CROAKER,215069,78.3
FINAL,1995,MAY/JUNE,DELAWARE,ATLANTIC CROAKER,0,.
FINAL,1995,MAY/JUNE,FLORIDA,ATLANTIC CROAKER,12667,65.9
FINAL,1995,MAY/JUNE,GEORGIA,ATLANTIC CROAKER,13798,77.9
FINAL,1995,MAY/JUNE,MARYLAND,ATLANTIC CROAKER,586460,51.2
FINAL,1995,MAY/JUNE,NORTH CAROLINA,ATLANTIC CROAKER,260650,20.5
FINAL,1995,MAY/JUNE,SOUTH CAROLINA,ATLANTIC CROAKER,0,.
FINAL,1995,MAY/JUNE,VIRGINIA,ATLANTIC CROAKER,5212507,20
FINAL,1995,JULY/AUGUST,DELAWARE,ATLANTIC CROAKER,180804,44.9
FINAL,1995,JULY/AUGUST,FLORIDA,ATLANTIC CROAKER,422672,77.6
FINAL,1995,JULY/AUGUST,GEORGIA,ATLANTIC CROAKER,111797,65.7
FINAL,1995,JULY/AUGUST,MARYLAND,ATLANTIC CROAKER,717750,46.5
FINAL,1995,JULY/AUGUST,NEW JERSEY,ATLANTIC CROAKER,20777,56.2
FINAL,1995,JULY/AUGUST,NORTH CAROLINA,ATLANTIC CROAKER,896105,19.7
FINAL,1995,JULY/AUGUST,SOUTH CAROLINA,ATLANTIC CROAKER,418549,77.3
FINAL,1995,JULY/AUGUST,VIRGINIA,ATLANTIC CROAKER,4107590,24.5
FINAL,1995,SEPTEMBER/OCTOBER,DELAWARE,ATLANTIC CROAKER,74761,38.5
FINAL,1995,SEPTEMBER/OCTOBER,FLORIDA,ATLANTIC CROAKER,215117,36.1
FINAL,1995,SEPTEMBER/OCTOBER,GEORGIA,ATLANTIC CROAKER,6047,39.5
FINAL,1995,SEPTEMBER/OCTOBER,MARYLAND,ATLANTIC CROAKER,56642,60
FINAL,1995,SEPTEMBER/OCTOBER,NEW JERSEY,ATLANTIC CROAKER,11334,76.8
FINAL,1995,SEPTEMBER/OCTOBER,NORTH CAROLINA,ATLANTIC CROAKER,405051,24.4
FINAL,1995,SEPTEMBER/OCTOBER,SOUTH CAROLINA,ATLANTIC CROAKER,14391,58.4
FINAL,1995,SEPTEMBER/OCTOBER,VIRGINIA,ATLANTIC CROAKER,936790,29.3
FINAL,1995,NOVEMBER/DECEMBER,FLORIDA,ATLANTIC CROAKER,184516,71
FINAL,1995,NOVEMBER/DECEMBER,NORTH CAROLINA,ATLANTIC CROAKER,39030,39.5
FINAL,1995,NOVEMBER/DECEMBER,SOUTH CAROLINA,ATLANTIC CROAKER,1164,102.2
FINAL,1995,NOVEMBER/DECEMBER,VIRGINIA,ATLANTIC CROAKER,2785,73.7
FINAL,1996,JANUARY/FEBRUARY,FLORIDA,ATLANTIC CROAKER,9106,58
FINAL,1996,MARCH/APRIL,FLORIDA,ATLANTIC CROAKER,149438,68.4
FINAL,1996,MARCH/APRIL,GEORGIA,ATLANTIC CROAKER,1327,87.9
FINAL,1996,MARCH/APRIL,NORTH CAROLINA,ATLANTIC CROAKER,76571,63.8
FINAL,1996,MARCH/APRIL,SOUTH CAROLINA,ATLANTIC CROAKER,0,.
FINAL,1996,MARCH/APRIL,VIRGINIA,ATLANTIC CROAKER,0,.
FINAL,1996,MAY/JUNE,FLORIDA,ATLANTIC CROAKER,17001,96.6
FINAL,1996,MAY/JUNE,GEORGIA,ATLANTIC CROAKER,16140,97
FINAL,1996,MAY/JUNE,MARYLAND,ATLANTIC CROAKER,98341,68.9
FINAL,1996,MAY/JUNE,NORTH CAROLINA,ATLANTIC CROAKER,377418,16.5
FINAL,1996,MAY/JUNE,SOUTH CAROLINA,ATLANTIC CROAKER,7570,47.5
FINAL,1996,MAY/JUNE,VIRGINIA,ATLANTIC CROAKER,4263250,17.5
FINAL,1996,JULY/AUGUST,DELAWARE,ATLANTIC CROAKER,218329,49.9
FINAL,1996,JULY/AUGUST,FLORIDA,ATLANTIC CROAKER,82882,57.2
FINAL,1996,JULY/AUGUST,GEORGIA,ATLANTIC CROAKER,129576,51.7
FINAL,1996,JULY/AUGUST,MARYLAND,ATLANTIC CROAKER,825876,34.3
FINAL,1996,JULY/AUGUST,NORTH CAROLINA,ATLANTIC CROAKER,620026,32.6
FINAL,1996,JULY/AUGUST,SOUTH CAROLINA,ATLANTIC CROAKER,140361,46.9
FINAL,1996,JULY/AUGUST,VIRGINIA,ATLANTIC CROAKER,4437817,26.6
FINAL,1996,SEPTEMBER/OCTOBER,DELAWARE,ATLANTIC CROAKER,254921,24.2
FINAL,1996,SEPTEMBER/OCTOBER,FLORIDA,ATLANTIC CROAKER,60689,46.6
FINAL,1996,SEPTEMBER/OCTOBER,GEORGIA,ATLANTIC CROAKER,24227,52.5
FINAL,1996,SEPTEMBER/OCTOBER,MARYLAND,ATLANTIC CROAKER,9616,97
FINAL,1996,SEPTEMBER/OCTOBER,NEW JERSEY,ATLANTIC CROAKER,76505,82.2
FINAL,1996,SEPTEMBER/OCTOBER,NORTH CAROLINA,ATLANTIC CROAKER,134403,19.6
FINAL,1996,SEPTEMBER/OCTOBER,SOUTH CAROLINA,ATLANTIC CROAKER,22764,47
FINAL,1996,SEPTEMBER/OCTOBER,VIRGINIA,ATLANTIC CROAKER,291974,25.5
FINAL,1996,NOVEMBER/DECEMBER,FLORIDA,ATLANTIC CROAKER,32504,52.1
FINAL,1996,NOVEMBER/DECEMBER,GEORGIA,ATLANTIC CROAKER,0,.
FINAL,1996,NOVEMBER/DECEMBER,NORTH CAROLINA,ATLANTIC CROAKER,15938,48.8
FINAL,1997,JANUARY/FEBRUARY,FLORIDA,ATLANTIC CROAKER,0,.
FINAL,1997,MARCH/APRIL,FLORIDA,ATLANTIC CROAKER,25636,66.9
FINAL,1997,MARCH/APRIL,GEORGIA,ATLANTIC CROAKER,0,.
FINAL,1997,MARCH/APRIL,NORTH CAROLINA,ATLANTIC CROAKER,2311,99
FINAL,1997,MARCH/APRIL,SOUTH CAROLINA,ATLANTIC CROAKER,0,.
FINAL,1997,MARCH/APRIL,VIRGINIA,ATLANTIC CROAKER,38602,92
FINAL,1997,MAY/JUNE,FLORIDA,ATLANTIC CROAKER,216507,53.8
FINAL,1997,MAY/JUNE,GEORGIA,ATLANTIC CROAKER,4526,56
FINAL,1997,MAY/JUNE,MARYLAND,ATLANTIC CROAKER,846679,70.4
FINAL,1997,MAY/JUNE,NORTH CAROLINA,ATLANTIC CROAKER,146999,21.7
FINAL,1997,MAY/JUNE,SOUTH CAROLINA,ATLANTIC CROAKER,21527,66
FINAL,1997,MAY/JUNE,VIRGINIA,ATLANTIC CROAKER,4574194,20.9
FINAL,1997,JULY/AUGUST,DELAWARE,ATLANTIC CROAKER,185007,25.9
FINAL,1997,JULY/AUGUST,FLORIDA,ATLANTIC CROAKER,16632,57.6
FINAL,1997,JULY/AUGUST,GEORGIA,ATLANTIC CROAKER,97589,53.3
FINAL,1997,JULY/AUGUST,MARYLAND,ATLANTIC CROAKER,454013,39.8
FINAL,1997,JULY/AUGUST,NEW JERSEY,ATLANTIC CROAKER,156408,97.1
FINAL,1997,JULY/AUGUST,NORTH CAROLINA,ATLANTIC CROAKER,676494,20.6
FINAL,1997,JULY/AUGUST,SOUTH CAROLINA,ATLANTIC CROAKER,108763,26.1
FINAL,1997,JULY/AUGUST,VIRGINIA,ATLANTIC CROAKER,6207197,24.2
FINAL,1997,SEPTEMBER/OCTOBER,DELAWARE,ATLANTIC CROAKER,521754,21.8
FINAL,1997,SEPTEMBER/OCTOBER,FLORIDA,ATLANTIC CROAKER,123832,54.8
FINAL,1997,SEPTEMBER/OCTOBER,GEORGIA,ATLANTIC CROAKER,10364,64.6
FINAL,1997,SEPTEMBER/OCTOBER,MARYLAND,ATLANTIC CROAKER,550210,29.5
FINAL,1997,SEPTEMBER/OCTOBER,NEW JERSEY,ATLANTIC CROAKER,113929,51.5
FINAL,1997,SEPTEMBER/OCTOBER,NORTH CAROLINA,ATLANTIC CROAKER,187720,29.3
FINAL,1997,SEPTEMBER/OCTOBER,SOUTH CAROLINA,ATLANTIC CROAKER,32060,39.3
FINAL,1997,SEPTEMBER/OCTOBER,VIRGINIA,ATLANTIC CROAKER,1344014,18.8
FINAL,1997,NOVEMBER/DECEMBER,FLORIDA,ATLANTIC CROAKER,252831,77.2
FINAL,1997,NOVEMBER/DECEMBER,GEORGIA,ATLANTIC CROAKER,24231,45.5
FINAL,1997,NOVEMBER/DECEMBER,NORTH CAROLINA,ATLANTIC CROAKER,128644,61.9
FINAL,1997,NOVEMBER/DECEMBER,SOUTH CAROLINA,ATLANTIC CROAKER,5349,90.7
FINAL,1997,NOVEMBER/DECEMBER,VIRGINIA,ATLANTIC CROAKER,80235,49
FINAL,1998,JANUARY/FEBRUARY,FLORIDA,ATLANTIC CROAKER,80860,51.9
FINAL,1998,MARCH/APRIL,FLORIDA,ATLANTIC CROAKER,0,.
FINAL,1998,MARCH/APRIL,GEORGIA,ATLANTIC CROAKER,19747,68.7
FINAL,1998,MARCH/APRIL,MARYLAND,ATLANTIC CROAKER,121176,94.8
FINAL,1998,MARCH/APRIL,NORTH CAROLINA,ATLANTIC CROAKER,3045,80.2
FINAL,1998,MARCH/APRIL,SOUTH CAROLINA,ATLANTIC CROAKER,4774,90.6
FINAL,1998,MARCH/APRIL,VIRGINIA,ATLANTIC CROAKER,318231,50.6
FINAL,1998,MAY/JUNE,DELAWARE,ATLANTIC CROAKER,37198,102.9
FINAL,1998,MAY/JUNE,FLORIDA,ATLANTIC CROAKER,496667,70.1
FINAL,1998,MAY/JUNE,GEORGIA,ATLANTIC CROAKER,46045,44.1
FINAL,1998,MAY/JUNE,MARYLAND,ATLANTIC CROAKER,430046,46.6
FINAL,1998,MAY/JUNE,NORTH CAROLINA,ATLANTIC CROAKER,262898,24.7
FINAL,1998,MAY/JUNE,SOUTH CAROLINA,ATLANTIC CROAKER,294954,77.3
