species,year,season,harvest.n
RED SNAPPER,2000,1,44713
RED SNAPPER,2000,2,8001
RED SNAPPER,2001,1,43871
RED SNAPPER,2001,2,2646
RED SNAPPER,2002,1,48480
RED SNAPPER,2002,2,4860
RED SNAPPER,2003,1,31249
RED SNAPPER,2003,2,8747
RED SNAPPER,2004,1,35793
RED SNAPPER,2004,2,4543
RED SNAPPER,2005,1,42218
RED SNAPPER,2005,2,6894
RED SNAPPER,2006,1,50632
RED SNAPPER,2006,2,18855
RED SNAPPER,2007,1,39043
RED SNAPPER,2007,2,5592
RED SNAPPER,2008,1,29983
RED SNAPPER,2008,2,10519
RED SNAPPER,2009,1,29142
RED SNAPPER,2009,2,2001
RED SNAPPER,2010,1,22822
RED SNAPPER,2010,2,10490
RED SNAPPER,2011,1,25065
RED SNAPPER,2011,2,11196
RED SNAPPER,2012,1,26445
RED SNAPPER,2012,2,7738
RED SNAPPER,2013,1,36815
RED SNAPPER,2013,2,10840
RED SNAPPER,2014,1,31877
RED SNAPPER,2014,2,8096
RED SNAPPER,2015,1,39191
RED SNAPPER,2015,2,10763
RED SNAPPER,2016,1,24214
RED SNAPPER,2016,2,6669
RED SNAPPER,2017,1,34900
RED SNAPPER,2017,2,9625
RED SNAPPER,2018,1,48096
RED SNAPPER,2018,2,6436
RED SNAPPER,2019,1,72855
RED SNAPPER,2019,2,4034
SHEEPSHEAD,1983,1,80249
SHEEPSHEAD,1984,1,40002
SHEEPSHEAD,1984,2,35205
SHEEPSHEAD,1985,1,23348
SHEEPSHEAD,1985,2,62949
SHEEPSHEAD,1986,1,21015
SHEEPSHEAD,1986,2,37382
SHEEPSHEAD,1987,1,41177
SHEEPSHEAD,1987,2,41929
SHEEPSHEAD,1988,1,17226
SHEEPSHEAD,1988,2,69843
SHEEPSHEAD,1989,1,19040
SHEEPSHEAD,1989,2,27421
SHEEPSHEAD,1990,1,22950
SHEEPSHEAD,1990,2,18195
SHEEPSHEAD,1991,1,20855
SHEEPSHEAD,1991,2,44497
SHEEPSHEAD,1992,1,23853
SHEEPSHEAD,1992,2,32033
SHEEPSHEAD,1993,1,19935
SHEEPSHEAD,1993,2,36044
SHEEPSHEAD,1994,1,23772
SHEEPSHEAD,1994,2,37764
SHEEPSHEAD,1995,1,15822
SHEEPSHEAD,1995,2,46285
SHEEPSHEAD,1996,1,22884
SHEEPSHEAD,1996,2,47870
SHEEPSHEAD,1997,1,29831
SHEEPSHEAD,1997,2,62811
SHEEPSHEAD,1998,1,17720
SHEEPSHEAD,1998,2,78405
SHEEPSHEAD,1999,1,15584
SHEEPSHEAD,1999,2,84514
SHEEPSHEAD,2000,1,12244
SHEEPSHEAD,2000,2,65436
SHEEPSHEAD,2001,1,22907
SHEEPSHEAD,2001,2,57119
