Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1991,JULY/AUGUST,NEW JERSEY,BLACK SEA BASS,121357,46.5,0
FINAL,1991,JULY/AUGUST,NEW YORK,BLACK SEA BASS,10448,26,0
FINAL,1991,JULY/AUGUST,NORTH CAROLINA,BLACK SEA BASS,16455,29.6,0
FINAL,1991,JULY/AUGUST,RHODE ISLAND,BLACK SEA BASS,4739,70.1,0
FINAL,1991,JULY/AUGUST,SOUTH CAROLINA,BLACK SEA BASS,9242,51.5,0
FINAL,1991,JULY/AUGUST,VIRGINIA,BLACK SEA BASS,32530,38,0
FINAL,1991,SEPTEMBER/OCTOBER,CONNECTICUT,BLACK SEA BASS,0,.,0
FINAL,1991,SEPTEMBER/OCTOBER,DELAWARE,BLACK SEA BASS,44636,30.9,0
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,BLACK SEA BASS,96048,59.7,0
FINAL,1991,SEPTEMBER/OCTOBER,GEORGIA,BLACK SEA BASS,276,73.9,0
FINAL,1991,SEPTEMBER/OCTOBER,MARYLAND,BLACK SEA BASS,134735,39,0
FINAL,1991,SEPTEMBER/OCTOBER,MASSACHUSETTS,BLACK SEA BASS,42281,89,0
FINAL,1991,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,BLACK SEA BASS,538,78.2,0
FINAL,1991,SEPTEMBER/OCTOBER,NEW JERSEY,BLACK SEA BASS,416454,25.5,0
FINAL,1991,SEPTEMBER/OCTOBER,NEW YORK,BLACK SEA BASS,48857,21,0
FINAL,1991,SEPTEMBER/OCTOBER,NORTH CAROLINA,BLACK SEA BASS,15593,28.4,0
FINAL,1991,SEPTEMBER/OCTOBER,RHODE ISLAND,BLACK SEA BASS,1012,70.7,0
FINAL,1991,SEPTEMBER/OCTOBER,SOUTH CAROLINA,BLACK SEA BASS,1057,83.4,0
FINAL,1991,SEPTEMBER/OCTOBER,VIRGINIA,BLACK SEA BASS,60836,42,6776
FINAL,1991,NOVEMBER/DECEMBER,DELAWARE,BLACK SEA BASS,8649,98.3,0
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,BLACK SEA BASS,300188,32.2,0
FINAL,1991,NOVEMBER/DECEMBER,GEORGIA,BLACK SEA BASS,7453,86.9,0
FINAL,1991,NOVEMBER/DECEMBER,MARYLAND,BLACK SEA BASS,74505,68.2,0
FINAL,1991,NOVEMBER/DECEMBER,NEW JERSEY,BLACK SEA BASS,59531,79.2,0
FINAL,1991,NOVEMBER/DECEMBER,NEW YORK,BLACK SEA BASS,4337,67.1,0
FINAL,1991,NOVEMBER/DECEMBER,NORTH CAROLINA,BLACK SEA BASS,768,73.9,0
FINAL,1991,NOVEMBER/DECEMBER,SOUTH CAROLINA,BLACK SEA BASS,96864,93.1,0
FINAL,1991,NOVEMBER/DECEMBER,VIRGINIA,BLACK SEA BASS,338061,56.7,0
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,BLACK SEA BASS,0,.,458414
FINAL,1992,MARCH/APRIL,ALABAMA,BLACK SEA BASS,0,.,0
FINAL,1992,MARCH/APRIL,FLORIDA,BLACK SEA BASS,127231,37.2,0
FINAL,1992,MARCH/APRIL,GEORGIA,BLACK SEA BASS,15679,60.7,0
FINAL,1992,MARCH/APRIL,MARYLAND,BLACK SEA BASS,970,99.3,0
FINAL,1992,MARCH/APRIL,NEW JERSEY,BLACK SEA BASS,426,103.6,0
FINAL,1992,MARCH/APRIL,NEW YORK,BLACK SEA BASS,45,106.7,0
FINAL,1992,MARCH/APRIL,NORTH CAROLINA,BLACK SEA BASS,129016,64.7,0
FINAL,1992,MARCH/APRIL,SOUTH CAROLINA,BLACK SEA BASS,23237,68.2,0
FINAL,1992,MARCH/APRIL,VIRGINIA,BLACK SEA BASS,149336,76,0
FINAL,1992,MAY/JUNE,DELAWARE,BLACK SEA BASS,12323,58.7,0
FINAL,1992,MAY/JUNE,FLORIDA,BLACK SEA BASS,43403,28.5,0
FINAL,1992,MAY/JUNE,GEORGIA,BLACK SEA BASS,5146,80.5,0
FINAL,1992,MAY/JUNE,MARYLAND,BLACK SEA BASS,129023,49.6,0
FINAL,1992,MAY/JUNE,MASSACHUSETTS,BLACK SEA BASS,16,101.1,0
FINAL,1992,MAY/JUNE,NEW JERSEY,BLACK SEA BASS,300915,30.9,0
FINAL,1992,MAY/JUNE,NEW YORK,BLACK SEA BASS,1609,72.3,0
FINAL,1992,MAY/JUNE,NORTH CAROLINA,BLACK SEA BASS,50958,29.7,0
FINAL,1992,MAY/JUNE,RHODE ISLAND,BLACK SEA BASS,478,72.4,0
FINAL,1992,MAY/JUNE,SOUTH CAROLINA,BLACK SEA BASS,6009,64.1,0
FINAL,1992,MAY/JUNE,VIRGINIA,BLACK SEA BASS,84743,40.6,0
FINAL,1992,JULY/AUGUST,CONNECTICUT,BLACK SEA BASS,263,99.7,0
FINAL,1992,JULY/AUGUST,DELAWARE,BLACK SEA BASS,18900,24.7,0
FINAL,1992,JULY/AUGUST,FLORIDA,BLACK SEA BASS,25089,34.5,0
FINAL,1992,JULY/AUGUST,GEORGIA,BLACK SEA BASS,17409,53.1,0
FINAL,1992,JULY/AUGUST,MARYLAND,BLACK SEA BASS,63828,58.8,0
FINAL,1992,JULY/AUGUST,MASSACHUSETTS,BLACK SEA BASS,3208,64.4,0
FINAL,1992,JULY/AUGUST,NEW JERSEY,BLACK SEA BASS,79108,38.6,0
FINAL,1992,JULY/AUGUST,NEW YORK,BLACK SEA BASS,21434,41.2,0
FINAL,1992,JULY/AUGUST,NORTH CAROLINA,BLACK SEA BASS,29045,46,0
FINAL,1992,JULY/AUGUST,RHODE ISLAND,BLACK SEA BASS,9206,36.2,0
FINAL,1992,JULY/AUGUST,SOUTH CAROLINA,BLACK SEA BASS,11452,51.8,0
FINAL,1992,JULY/AUGUST,VIRGINIA,BLACK SEA BASS,48282,31.9,0
FINAL,1992,SEPTEMBER/OCTOBER,CONNECTICUT,BLACK SEA BASS,2436,59.7,0
FINAL,1992,SEPTEMBER/OCTOBER,DELAWARE,BLACK SEA BASS,22786,23.7,0
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,BLACK SEA BASS,97630,29.8,0
FINAL,1992,SEPTEMBER/OCTOBER,GEORGIA,BLACK SEA BASS,3370,54.7,0
FINAL,1992,SEPTEMBER/OCTOBER,MARYLAND,BLACK SEA BASS,56831,69.1,0
FINAL,1992,SEPTEMBER/OCTOBER,MASSACHUSETTS,BLACK SEA BASS,2292,65.2,0
FINAL,1992,SEPTEMBER/OCTOBER,NEW JERSEY,BLACK SEA BASS,352774,28.2,0
FINAL,1992,SEPTEMBER/OCTOBER,NEW YORK,BLACK SEA BASS,17146,26.2,0
FINAL,1992,SEPTEMBER/OCTOBER,NORTH CAROLINA,BLACK SEA BASS,22275,37.9,0
FINAL,1992,SEPTEMBER/OCTOBER,RHODE ISLAND,BLACK SEA BASS,1782,56.7,0
FINAL,1992,SEPTEMBER/OCTOBER,SOUTH CAROLINA,BLACK SEA BASS,31821,56.3,0
FINAL,1992,SEPTEMBER/OCTOBER,VIRGINIA,BLACK SEA BASS,92086,47.9,0
FINAL,1992,NOVEMBER/DECEMBER,DELAWARE,BLACK SEA BASS,0,.,0
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,BLACK SEA BASS,83149,40.2,0
FINAL,1992,NOVEMBER/DECEMBER,GEORGIA,BLACK SEA BASS,2117,100.1,0
FINAL,1992,NOVEMBER/DECEMBER,MARYLAND,BLACK SEA BASS,43814,83.3,0
FINAL,1992,NOVEMBER/DECEMBER,NEW JERSEY,BLACK SEA BASS,18983,66.2,0
FINAL,1992,NOVEMBER/DECEMBER,NEW YORK,BLACK SEA BASS,22065,69.8,0
FINAL,1992,NOVEMBER/DECEMBER,NORTH CAROLINA,BLACK SEA BASS,24709,43.5,0
FINAL,1992,NOVEMBER/DECEMBER,SOUTH CAROLINA,BLACK SEA BASS,41527,55.5,0
FINAL,1992,NOVEMBER/DECEMBER,VIRGINIA,BLACK SEA BASS,16599,64.4,0
FINAL,1993,JANUARY/FEBRUARY,FLORIDA,BLACK SEA BASS,149793,40.8,0
FINAL,1993,MARCH/APRIL,DELAWARE,BLACK SEA BASS,957,105,0
FINAL,1993,MARCH/APRIL,FLORIDA,BLACK SEA BASS,272630,70.6,0
FINAL,1993,MARCH/APRIL,GEORGIA,BLACK SEA BASS,3401,101,0
FINAL,1993,MARCH/APRIL,MARYLAND,BLACK SEA BASS,341,66.3,0
FINAL,1993,MARCH/APRIL,NEW JERSEY,BLACK SEA BASS,70829,42.3,0
FINAL,1993,MARCH/APRIL,NORTH CAROLINA,BLACK SEA BASS,10780,54.4,0
FINAL,1993,MARCH/APRIL,SOUTH CAROLINA,BLACK SEA BASS,48903,66.3,0
FINAL,1993,MARCH/APRIL,VIRGINIA,BLACK SEA BASS,93803,50.5,0
FINAL,1993,MAY/JUNE,CONNECTICUT,BLACK SEA BASS,67,102.3,0
FINAL,1993,MAY/JUNE,DELAWARE,BLACK SEA BASS,167022,73.1,0
FINAL,1993,MAY/JUNE,FLORIDA,BLACK SEA BASS,90834,28.7,0
FINAL,1993,MAY/JUNE,GEORGIA,BLACK SEA BASS,18973,26.7,0
FINAL,1993,MAY/JUNE,MARYLAND,BLACK SEA BASS,280013,88.3,0
FINAL,1993,MAY/JUNE,MASSACHUSETTS,BLACK SEA BASS,1777,91.4,0
FINAL,1993,MAY/JUNE,NEW JERSEY,BLACK SEA BASS,82141,38.3,0
FINAL,1993,MAY/JUNE,NEW YORK,BLACK SEA BASS,14499,50.8,0
FINAL,1993,MAY/JUNE,NORTH CAROLINA,BLACK SEA BASS,37440,28.7,0
FINAL,1993,MAY/JUNE,RHODE ISLAND,BLACK SEA BASS,24176,63,0
FINAL,1993,MAY/JUNE,SOUTH CAROLINA,BLACK SEA BASS,1873,49.2,0
FINAL,1993,MAY/JUNE,VIRGINIA,BLACK SEA BASS,92510,49.6,0
FINAL,1993,JULY/AUGUST,CONNECTICUT,BLACK SEA BASS,2776,92.2,0
FINAL,1993,JULY/AUGUST,DELAWARE,BLACK SEA BASS,16336,21.8,0
FINAL,1993,JULY/AUGUST,FLORIDA,BLACK SEA BASS,106143,43.5,0
FINAL,1993,JULY/AUGUST,GEORGIA,BLACK SEA BASS,656,76.8,0
FINAL,1993,JULY/AUGUST,MARYLAND,BLACK SEA BASS,29716,69,0
FINAL,1993,JULY/AUGUST,MASSACHUSETTS,BLACK SEA BASS,2726,42,0
FINAL,1993,JULY/AUGUST,NEW JERSEY,BLACK SEA BASS,198001,49.5,0
FINAL,1993,JULY/AUGUST,NEW YORK,BLACK SEA BASS,25366,44,0
FINAL,1993,JULY/AUGUST,NORTH CAROLINA,BLACK SEA BASS,33220,30.2,0
FINAL,1993,JULY/AUGUST,RHODE ISLAND,BLACK SEA BASS,5702,42.3,0
FINAL,1993,JULY/AUGUST,SOUTH CAROLINA,BLACK SEA BASS,11989,50.8,0
FINAL,1993,JULY/AUGUST,VIRGINIA,BLACK SEA BASS,52574,34.7,0
FINAL,1993,SEPTEMBER/OCTOBER,CONNECTICUT,BLACK SEA BASS,46,105.9,0
FINAL,1993,SEPTEMBER/OCTOBER,DELAWARE,BLACK SEA BASS,10960,41.4,0
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,BLACK SEA BASS,28078,40.7,0
FINAL,1993,SEPTEMBER/OCTOBER,GEORGIA,BLACK SEA BASS,22746,83.7,0
FINAL,1993,SEPTEMBER/OCTOBER,MARYLAND,BLACK SEA BASS,2586,99.5,0
FINAL,1993,SEPTEMBER/OCTOBER,MASSACHUSETTS,BLACK SEA BASS,7169,54.1,0
FINAL,1993,SEPTEMBER/OCTOBER,NEW JERSEY,BLACK SEA BASS,947641,65.3,0
FINAL,1993,SEPTEMBER/OCTOBER,NEW YORK,BLACK SEA BASS,93781,38,0
FINAL,1993,SEPTEMBER/OCTOBER,NORTH CAROLINA,BLACK SEA BASS,14215,29.9,0
FINAL,1993,SEPTEMBER/OCTOBER,RHODE ISLAND,BLACK SEA BASS,8245,40.5,0
FINAL,1993,SEPTEMBER/OCTOBER,SOUTH CAROLINA,BLACK SEA BASS,2413,55.2,0
FINAL,1993,SEPTEMBER/OCTOBER,VIRGINIA,BLACK SEA BASS,87646,33.8,0
FINAL,1993,NOVEMBER/DECEMBER,DELAWARE,BLACK SEA BASS,457,77.1,0
FINAL,1993,NOVEMBER/DECEMBER,FLORIDA,BLACK SEA BASS,183459,31.9,0
FINAL,1993,NOVEMBER/DECEMBER,MARYLAND,BLACK SEA BASS,17472,54.6,0
