Estimate Status,Year,Wave,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,2012,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,176216,33,0
FINAL,2012,NOVEMBER/DECEMBER,ATLANTIC CROAKER,82167,45.1,0
FINAL,2013,JANUARY/FEBRUARY,ATLANTIC CROAKER,27621,62.4,0
FINAL,2013,MARCH/APRIL,ATLANTIC CROAKER,6840,41.4,0
FINAL,2013,MAY/JUNE,ATLANTIC CROAKER,57228,37.8,0
FINAL,2013,JULY/AUGUST,ATLANTIC CROAKER,141246,49.4,0
FINAL,2013,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,132610,48.3,0
FINAL,2013,NOVEMBER/DECEMBER,ATLANTIC CROAKER,20930,50.7,0
FINAL,2014,JANUARY/FEBRUARY,ATLANTIC CROAKER,14856,18.1,0
FINAL,2014,MARCH/APRIL,ATLANTIC CROAKER,19270,74.1,0
FINAL,2014,MAY/JUNE,ATLANTIC CROAKER,62979,45.7,0
FINAL,2014,JULY/AUGUST,ATLANTIC CROAKER,145818,54.2,0
FINAL,2014,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,73044,25.4,0
FINAL,2014,NOVEMBER/DECEMBER,ATLANTIC CROAKER,145396,91.1,0
FINAL,2015,JANUARY/FEBRUARY,ATLANTIC CROAKER,0,.,0
FINAL,2015,MARCH/APRIL,ATLANTIC CROAKER,6660,90.3,0
FINAL,2015,MAY/JUNE,ATLANTIC CROAKER,32222,43,0
FINAL,2015,JULY/AUGUST,ATLANTIC CROAKER,230873,33.4,0
FINAL,2015,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,115400,47.7,0
FINAL,2015,NOVEMBER/DECEMBER,ATLANTIC CROAKER,36320,49.2,0
FINAL,2016,JANUARY/FEBRUARY,ATLANTIC CROAKER,22644,69.9,0
FINAL,2016,MARCH/APRIL,ATLANTIC CROAKER,7749,73.7,0
FINAL,2016,MAY/JUNE,ATLANTIC CROAKER,621048,62.1,0
FINAL,2016,JULY/AUGUST,ATLANTIC CROAKER,127556,30.9,0
FINAL,2016,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,20495,41.4,0
FINAL,2016,NOVEMBER/DECEMBER,ATLANTIC CROAKER,106395,69.1,0
FINAL,2017,JANUARY/FEBRUARY,ATLANTIC CROAKER,5948,89.3,0
FINAL,2017,MARCH/APRIL,ATLANTIC CROAKER,38287,58.2,0
FINAL,2017,MAY/JUNE,ATLANTIC CROAKER,21637,45.7,0
FINAL,2017,JULY/AUGUST,ATLANTIC CROAKER,31770,45.9,0
FINAL,2017,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,224656,59,0
FINAL,2017,NOVEMBER/DECEMBER,ATLANTIC CROAKER,21978,52,0
FINAL,2018,JANUARY/FEBRUARY,ATLANTIC CROAKER,22956,36.3,0
FINAL,2018,MARCH/APRIL,ATLANTIC CROAKER,76778,59.7,0
FINAL,2018,MAY/JUNE,ATLANTIC CROAKER,56176,42.1,0
FINAL,2018,JULY/AUGUST,ATLANTIC CROAKER,119962,40,0
FINAL,2018,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,50436,45.4,0
FINAL,2018,NOVEMBER/DECEMBER,ATLANTIC CROAKER,15709,72.4,0
FINAL,2019,JANUARY/FEBRUARY,ATLANTIC CROAKER,536,104,0
FINAL,2019,MARCH/APRIL,ATLANTIC CROAKER,7222,100.6,0
FINAL,2019,MAY/JUNE,ATLANTIC CROAKER,118513,78,0
FINAL,2019,JULY/AUGUST,ATLANTIC CROAKER,44646,36.5,0
FINAL,2019,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,52948,71.5,0
FINAL,2019,NOVEMBER/DECEMBER,ATLANTIC CROAKER,1858,53.8,0
PRELIMINARY,2020,JANUARY/FEBRUARY,ATLANTIC CROAKER,36171,61.8,0
