year,wave,state,area,harvest.n,harvest.lb
1987,6,9,LIS,167709,687786
1988,2,9,LIS,,
1988,3,9,LIS,135489,390810
1988,4,9,LIS,148633,404966
1988,5,9,LIS,126534,297790
1988,6,9,LIS,2470,10800
1989,2,9,LIS,3343,15848
1989,3,9,LIS,473925,873147
1989,4,9,LIS,110270,343877
1989,5,9,LIS,178114,814202
1989,6,9,LIS,4850,11054
1990,2,9,LIS,,
1990,3,9,LIS,85597,233236
1990,4,9,LIS,30857,77706
1990,5,9,LIS,22693,57109
1990,6,9,LIS,59735,145823
1991,2,9,LIS,53,523
1991,3,9,LIS,134980,451924
1991,4,9,LIS,30398,114642
1991,5,9,LIS,64960,211172
1991,6,9,LIS,46104,123179
1992,2,9,LIS,,
1992,3,9,LIS,175451,621039
1992,4,9,LIS,29055,94525
1992,5,9,LIS,114585,328063
1992,6,9,LIS,188293,866160
1993,2,9,LIS,,
1993,3,9,LIS,41104,122671
1993,4,9,LIS,34223,79690
1993,5,9,LIS,228716,762267
1993,6,9,LIS,110291,355856
1994,2,9,LIS,,
1994,3,9,LIS,119345,396654
1994,4,9,LIS,44444,112957
1994,5,9,LIS,179654,446972
1994,6,9,LIS,100711,338136
1995,3,9,LIS,57850,205211
1995,4,9,LIS,21256,57147
1995,5,9,LIS,52887,171846
1995,6,9,LIS,101768,368977
1996,3,36,NJNYB,10771,28201
1996,5,36,NJNYB,84211,202453
1996,6,36,NJNYB,596,1543
1997,3,36,NJNYB,28214,94012
1997,4,36,NJNYB,0,0
1997,5,36,NJNYB,22848,45938
1997,6,36,NJNYB,19777,69595
1998,2,36,NJNYB,3282,14470
1998,3,36,NJNYB,0,0
1998,4,36,NJNYB,6435,13377
1998,5,36,NJNYB,20333,39929
1998,6,36,NJNYB,864,3672
1999,4,36,NJNYB,0,0
1999,5,36,NJNYB,56512,178397
1999,6,36,NJNYB,134341,622116
2000,2,36,NJNYB,0,0
2000,3,36,NJNYB,126356,447573
2000,4,36,NJNYB,2643,5518
2000,5,36,NJNYB,22707,51148
2000,6,36,NJNYB,36686,99034
2001,3,36,NJNYB,0,0
2001,4,36,NJNYB,895,8647
2001,5,36,NJNYB,25469,113231
2001,6,36,NJNYB,65381,270428
2002,2,36,NJNYB,0,0
2002,3,36,NJNYB,48298,151562
2002,4,36,NJNYB,0,0
2002,5,36,NJNYB,143591,459394
2002,6,36,NJNYB,291169,1279195
2003,2,36,NJNYB,10,21
2003,3,36,NJNYB,11618,38270
2003,4,36,NJNYB,0,0
2003,5,36,NJNYB,21601,74279
2003,6,36,NJNYB,101804,426093
2004,3,36,NJNYB,4361,12498
2004,4,36,NJNYB,0,0
2004,5,36,NJNYB,31462,153994
2004,6,36,NJNYB,25571,101987
2005,2,36,NJNYB,64,260
2005,3,36,NJNYB,0,0
2005,4,36,NJNYB,0,0
2005,5,36,NJNYB,3469,10706
2005,6,36,NJNYB,9161,31377
2006,2,36,NJNYB,5101,14565
2006,3,36,NJNYB,12619,47286
2006,4,36,NJNYB,0,0
2006,5,36,NJNYB,12862,37512
2006,6,36,NJNYB,80550,324468
2007,2,36,NJNYB,0,0
2007,3,36,NJNYB,2317,5157
2007,4,36,NJNYB,0,0
2007,5,36,NJNYB,27690,68945
2007,6,36,NJNYB,47082,249013
2008,2,36,NJNYB,2305,11968
2008,3,36,NJNYB,0,0
2008,4,36,NJNYB,0,0
2008,5,36,NJNYB,91672,321829
2008,6,36,NJNYB,40603,200700
2009,2,36,NJNYB,366,1333
2009,3,36,NJNYB,0,0
2009,4,36,NJNYB,46261,142785
2009,5,36,NJNYB,178968,797200
2009,6,36,NJNYB,106643,520571
