Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1994,JULY/AUGUST,NORTH CAROLINA,SPOTTED SEATROUT,25748,24.5,0
FINAL,1994,JULY/AUGUST,SOUTH CAROLINA,SPOTTED SEATROUT,5512,39.2,0
FINAL,1994,JULY/AUGUST,VIRGINIA,SPOTTED SEATROUT,22471,39.9,0
FINAL,1994,SEPTEMBER/OCTOBER,FLORIDA,SPOTTED SEATROUT,42287,35.5,0
FINAL,1994,SEPTEMBER/OCTOBER,GEORGIA,SPOTTED SEATROUT,87082,27.2,0
FINAL,1994,SEPTEMBER/OCTOBER,NORTH CAROLINA,SPOTTED SEATROUT,172780,25.9,0
FINAL,1994,SEPTEMBER/OCTOBER,SOUTH CAROLINA,SPOTTED SEATROUT,40642,48.1,0
FINAL,1994,SEPTEMBER/OCTOBER,VIRGINIA,SPOTTED SEATROUT,154435,32.8,0
FINAL,1994,NOVEMBER/DECEMBER,FLORIDA,SPOTTED SEATROUT,110551,44.2,0
FINAL,1994,NOVEMBER/DECEMBER,GEORGIA,SPOTTED SEATROUT,93004,31.8,0
FINAL,1994,NOVEMBER/DECEMBER,NORTH CAROLINA,SPOTTED SEATROUT,281959,22.7,0
FINAL,1994,NOVEMBER/DECEMBER,SOUTH CAROLINA,SPOTTED SEATROUT,43338,42,0
FINAL,1994,NOVEMBER/DECEMBER,VIRGINIA,SPOTTED SEATROUT,14751,53.1,0
FINAL,1995,JANUARY/FEBRUARY,FLORIDA,SPOTTED SEATROUT,197077,28.5,0
FINAL,1995,MARCH/APRIL,FLORIDA,SPOTTED SEATROUT,90782,36,0
FINAL,1995,MARCH/APRIL,GEORGIA,SPOTTED SEATROUT,15251,44.7,0
FINAL,1995,MARCH/APRIL,NORTH CAROLINA,SPOTTED SEATROUT,1137,69.1,0
FINAL,1995,MARCH/APRIL,SOUTH CAROLINA,SPOTTED SEATROUT,19429,57.2,0
FINAL,1995,MARCH/APRIL,VIRGINIA,SPOTTED SEATROUT,58880,38.5,0
FINAL,1995,MAY/JUNE,FLORIDA,SPOTTED SEATROUT,26773,48.6,0
FINAL,1995,MAY/JUNE,GEORGIA,SPOTTED SEATROUT,37784,56.1,0
FINAL,1995,MAY/JUNE,MARYLAND,SPOTTED SEATROUT,0,.,0
FINAL,1995,MAY/JUNE,NORTH CAROLINA,SPOTTED SEATROUT,32068,39.8,0
FINAL,1995,MAY/JUNE,SOUTH CAROLINA,SPOTTED SEATROUT,10536,57.9,0
FINAL,1995,MAY/JUNE,VIRGINIA,SPOTTED SEATROUT,24117,33.3,0
FINAL,1995,JULY/AUGUST,FLORIDA,SPOTTED SEATROUT,9952,39.2,0
FINAL,1995,JULY/AUGUST,GEORGIA,SPOTTED SEATROUT,28597,31.3,0
FINAL,1995,JULY/AUGUST,MARYLAND,SPOTTED SEATROUT,0,.,0
FINAL,1995,JULY/AUGUST,NORTH CAROLINA,SPOTTED SEATROUT,46453,32,0
FINAL,1995,JULY/AUGUST,SOUTH CAROLINA,SPOTTED SEATROUT,16995,45.1,0
FINAL,1995,JULY/AUGUST,VIRGINIA,SPOTTED SEATROUT,1345,101.5,0
FINAL,1995,SEPTEMBER/OCTOBER,FLORIDA,SPOTTED SEATROUT,152660,30.5,0
FINAL,1995,SEPTEMBER/OCTOBER,GEORGIA,SPOTTED SEATROUT,50876,26,0
FINAL,1995,SEPTEMBER/OCTOBER,MARYLAND,SPOTTED SEATROUT,26018,77.1,0
FINAL,1995,SEPTEMBER/OCTOBER,NORTH CAROLINA,SPOTTED SEATROUT,58110,21.7,0
FINAL,1995,SEPTEMBER/OCTOBER,SOUTH CAROLINA,SPOTTED SEATROUT,43343,44.3,0
FINAL,1995,SEPTEMBER/OCTOBER,VIRGINIA,SPOTTED SEATROUT,50517,31.7,0
FINAL,1995,NOVEMBER/DECEMBER,FLORIDA,SPOTTED SEATROUT,217075,41.3,0
FINAL,1995,NOVEMBER/DECEMBER,GEORGIA,SPOTTED SEATROUT,361381,31.4,0
FINAL,1995,NOVEMBER/DECEMBER,NORTH CAROLINA,SPOTTED SEATROUT,416103,17,0
FINAL,1995,NOVEMBER/DECEMBER,SOUTH CAROLINA,SPOTTED SEATROUT,131379,55.9,0
FINAL,1995,NOVEMBER/DECEMBER,VIRGINIA,SPOTTED SEATROUT,70854,33,0
FINAL,1996,JANUARY/FEBRUARY,FLORIDA,SPOTTED SEATROUT,206588,61.6,0
FINAL,1996,MARCH/APRIL,FLORIDA,SPOTTED SEATROUT,23995,42.8,0
FINAL,1996,MARCH/APRIL,GEORGIA,SPOTTED SEATROUT,17626,47.6,0
FINAL,1996,MARCH/APRIL,NORTH CAROLINA,SPOTTED SEATROUT,5898,100.8,0
FINAL,1996,MARCH/APRIL,SOUTH CAROLINA,SPOTTED SEATROUT,6452,97.3,0
FINAL,1996,MARCH/APRIL,VIRGINIA,SPOTTED SEATROUT,0,.,0
FINAL,1996,MAY/JUNE,FLORIDA,SPOTTED SEATROUT,27922,37.2,0
FINAL,1996,MAY/JUNE,GEORGIA,SPOTTED SEATROUT,14307,35.8,0
FINAL,1996,MAY/JUNE,NORTH CAROLINA,SPOTTED SEATROUT,40857,31.6,0
FINAL,1996,MAY/JUNE,SOUTH CAROLINA,SPOTTED SEATROUT,13045,50.2,0
FINAL,1996,MAY/JUNE,VIRGINIA,SPOTTED SEATROUT,1143,75.8,0
FINAL,1996,JULY/AUGUST,DELAWARE,SPOTTED SEATROUT,0,.,0
FINAL,1996,JULY/AUGUST,FLORIDA,SPOTTED SEATROUT,40513,38.1,0
FINAL,1996,JULY/AUGUST,GEORGIA,SPOTTED SEATROUT,27595,33.7,0
FINAL,1996,JULY/AUGUST,MARYLAND,SPOTTED SEATROUT,65807,97.5,0
FINAL,1996,JULY/AUGUST,NORTH CAROLINA,SPOTTED SEATROUT,11570,33.7,0
FINAL,1996,JULY/AUGUST,SOUTH CAROLINA,SPOTTED SEATROUT,15758,53.5,0
FINAL,1996,JULY/AUGUST,VIRGINIA,SPOTTED SEATROUT,27926,93,0
FINAL,1996,SEPTEMBER/OCTOBER,FLORIDA,SPOTTED SEATROUT,61960,37.7,0
FINAL,1996,SEPTEMBER/OCTOBER,GEORGIA,SPOTTED SEATROUT,46888,40.9,0
FINAL,1996,SEPTEMBER/OCTOBER,NORTH CAROLINA,SPOTTED SEATROUT,73863,27.8,0
FINAL,1996,SEPTEMBER/OCTOBER,SOUTH CAROLINA,SPOTTED SEATROUT,52876,36.8,0
FINAL,1996,SEPTEMBER/OCTOBER,VIRGINIA,SPOTTED SEATROUT,89155,32.4,0
FINAL,1996,NOVEMBER/DECEMBER,FLORIDA,SPOTTED SEATROUT,93205,86,0
FINAL,1996,NOVEMBER/DECEMBER,GEORGIA,SPOTTED SEATROUT,101434,47.2,0
FINAL,1996,NOVEMBER/DECEMBER,NORTH CAROLINA,SPOTTED SEATROUT,184912,37,0
FINAL,1996,NOVEMBER/DECEMBER,SOUTH CAROLINA,SPOTTED SEATROUT,129604,26.5,0
FINAL,1996,NOVEMBER/DECEMBER,VIRGINIA,SPOTTED SEATROUT,15049,58.3,0
FINAL,1997,JANUARY/FEBRUARY,FLORIDA,SPOTTED SEATROUT,97322,56.6,0
FINAL,1997,MARCH/APRIL,FLORIDA,SPOTTED SEATROUT,26141,45,0
FINAL,1997,MARCH/APRIL,GEORGIA,SPOTTED SEATROUT,4358,23.2,0
FINAL,1997,MARCH/APRIL,NORTH CAROLINA,SPOTTED SEATROUT,6394,57.5,0
FINAL,1997,MARCH/APRIL,SOUTH CAROLINA,SPOTTED SEATROUT,11702,69.5,0
FINAL,1997,MARCH/APRIL,VIRGINIA,SPOTTED SEATROUT,5763,104.4,0
FINAL,1997,MAY/JUNE,FLORIDA,SPOTTED SEATROUT,67993,38.2,0
FINAL,1997,MAY/JUNE,GEORGIA,SPOTTED SEATROUT,61014,40.5,0
FINAL,1997,MAY/JUNE,NORTH CAROLINA,SPOTTED SEATROUT,35276,30.2,0
FINAL,1997,MAY/JUNE,SOUTH CAROLINA,SPOTTED SEATROUT,5928,44.3,0
FINAL,1997,MAY/JUNE,VIRGINIA,SPOTTED SEATROUT,9946,54.6,0
FINAL,1997,JULY/AUGUST,DELAWARE,SPOTTED SEATROUT,282,96,0
FINAL,1997,JULY/AUGUST,FLORIDA,SPOTTED SEATROUT,44301,35.5,0
FINAL,1997,JULY/AUGUST,GEORGIA,SPOTTED SEATROUT,34794,44,0
FINAL,1997,JULY/AUGUST,MARYLAND,SPOTTED SEATROUT,10548,66.9,0
FINAL,1997,JULY/AUGUST,NORTH CAROLINA,SPOTTED SEATROUT,42750,23.1,0
FINAL,1997,JULY/AUGUST,SOUTH CAROLINA,SPOTTED SEATROUT,13123,39.5,0
