state,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991
South Carolina,1783,2120,2167,3359,2445,2426,3265,2406,1939,1716,1329,1334,1920,1712,1580,1385,1562,1744,1481,1395,2660,2059,2564,2287,2340,1949,1677,2569,2087
South Dakota,3776,2690,3789,3276,2810,3829,3331,1902,2446,2403,1540,1184,1112,2086,1797,1350,1399,1358,1239,1023,1453,1592,1824,1633,2690,2028,1817,1198,1432
Tennessee,2766,1468,2255,1478,1843,2514,3225,2685,2912,1477,1180,1441,1379,960,1563,1434,1646,1583,1145,1385,2016,2055,2164,1769,2119,1759,1452,1635,1680
Texas,1769,1397,1775,1499,1391,1453,1773,1060,1313,1362,887,802,865,1052,551,745,1062,802,741,1169,1570,1041,1402,1242,1059,1121,1071,1136,1149
Utah,3494,2369,2347,2383,2657,3493,4548,3284,1890,2306,1897,1816,1506,2124,1710,1258,1257,1633,2317,1550,2486,2162,2844,2165,1536,1782,2170,2051,2495
Vermont,3084,2393,3268,1453,2829,3349,3277,3380,2286,2640,1718,1169,1728,1609,1718,1723,1361,1183,1366,1371,2166,2501,2752,2035,2076,3262,1670,2388,2243
Virginia,3056,3142,3417,2595,2632,3185,2794,2416,2020,2309,1425,1722,1687,2024,1555,1514,2178,1838,1662,1585,2724,3451,3023,2375,2325,2620,2423,2434,2452
Washington,2920,3080,3449,2229,3510,2373,2416,2509,2259,2421,1432,2406,2146,1581,1371,1449,1944,1374,1830,1803,3202,2168,2733,2617,2092,2037,1941,2234,2175
West Virginia,2995,1361,1549,2124,3380,2373,2957,3095,2012,2959,1091,1671,1222,1543,1412,1591,1384,996,976,960,1769,1226,2095,2118,1454,2083,1714,1598,1685
Wisconsin,2323,2076,3831,1966,1605,2328,2570,1906,2355,1686,963,1014,1285,1457,1546,1814,1363,1348,1626,1417,2891,1998,1832,2897,2203,2177,2341,1965,1869
Wyoming,3773,3963,3269,3326,2184,2182,3482,3146,2594,2563,2545,1877,1685,1910,1979,1555,1393,1391,1688,1572,1978,2069,2296,1397,1898,3163,2039,2543,2537
