ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,tl.fl,min.size2,max.size,max.size2,bag.above.max,bag.above.max2,bag.below.min,mode,gear.restriction,other,comments,imputed
,2013,1,NC,,,,Red_Porgy,01-01-13,28-02-13,,3,,,,,,14,1,,,,,,,,,,,
,2013,2,NC,,,,Red_Porgy,01-03-13,30-04-13,,3,,,,,,14,1,,,,,,,,,,,
,2013,3,NC,,,,Red_Porgy,01-05-13,30-06-13,,3,,,,,,14,1,,,,,,,,,,,
,2013,4,NC,,,,Red_Porgy,01-07-13,31-08-13,,3,,,,,,14,1,,,,,,,,,,,
,2013,5,NC,,,,Red_Porgy,01-09-13,31-10-13,,3,,,,,,14,1,,,,,,,,,,,
,2013,6,NC,,,,Red_Porgy,01-11-13,31-12-13,,3,,,,,,14,1,,,,,,,,,,,
,2014,1,NC,,,,Red_Porgy,01-01-14,28-02-14,,3,,,,,,14,1,,,,,,,,,,,
,2014,2,NC,,,,Red_Porgy,01-03-14,30-04-14,,3,,,,,,14,1,,,,,,,,,,,
,2014,3,NC,,,,Red_Porgy,01-05-14,30-06-14,,3,,,,,,14,1,,,,,,,,,,,
,2014,4,NC,,,,Red_Porgy,01-07-14,31-08-14,,3,,,,,,14,1,,,,,,,,,,,
,2014,5,NC,,,,Red_Porgy,01-09-14,31-10-14,,3,,,,,,14,1,,,,,,,,,,,
,2014,6,NC,,,,Red_Porgy,01-11-14,31-12-14,,3,,,,,,14,1,,,,,,,,,,,
,2015,1,NC,,,,Red_Porgy,01-01-15,28-02-15,,3,,,,,,14,1,,,,,,,,,,,
,2015,2,NC,,,,Red_Porgy,01-03-15,30-04-15,,3,,,,,,14,1,,,,,,,,,,,
,2015,3,NC,,,,Red_Porgy,01-05-15,30-06-15,,3,,,,,,14,1,,,,,,,,,,,
,2015,4,NC,,,,Red_Porgy,01-07-15,31-08-15,,3,,,,,,14,1,,,,,,,,,,,
,2015,5,NC,,,,Red_Porgy,01-09-15,31-10-15,,3,,,,,,14,1,,,,,,,,,,,
,2015,6,NC,,,,Red_Porgy,01-11-15,31-12-15,,3,,,,,,14,1,,,,,,,,,,,
,2016,1,NC,,,,Red_Porgy,01-01-16,29-02-16,,3,,,,,,14,1,,,,,,,,,,,
,2016,2,NC,,,,Red_Porgy,01-03-16,30-04-16,,3,,,,,,14,1,,,,,,,,,,,
,2016,3,NC,,,,Red_Porgy,01-05-16,30-06-16,,3,,,,,,14,1,,,,,,,,,,,
,2016,4,NC,,,,Red_Porgy,01-07-16,31-08-16,,3,,,,,,14,1,,,,,,,,,,,
,2016,5,NC,,,,Red_Porgy,01-09-16,31-10-16,,3,,,,,,14,1,,,,,,,,,,,
,2016,6,NC,,,,Red_Porgy,01-11-16,31-12-16,,3,,,,,,14,1,,,,,,,,,,,
,2017,1,NC,,,,Red_Porgy,01-01-17,28-02-17,,3,,,,,,14,1,,,,,,,,,,,
,2017,2,NC,,,,Red_Porgy,01-03-17,30-04-17,,3,,,,,,14,1,,,,,,,,,,,
,2017,3,NC,,,,Red_Porgy,01-05-17,30-06-17,,3,,,,,,14,1,,,,,,,,,,,
,2017,4,NC,,,,Red_Porgy,01-07-17,31-08-17,,3,,,,,,14,1,,,,,,,,,,,
,2017,5,NC,,,,Red_Porgy,01-09-17,31-10-17,,3,,,,,,14,1,,,,,,,,,,,
,2017,6,NC,,,,Red_Porgy,01-11-17,31-12-17,,3,,,,,,14,1,,,,,,,,,,,
,2018,1,NC,,,,Red_Porgy,01-01-18,28-02-18,,3,,,,,,14,1,,,,,,,,,,,
,2018,2,NC,,,,Red_Porgy,01-03-18,30-04-18,,3,,,,,,14,1,,,,,,,,,,,
,2018,3,NC,,,,Red_Porgy,01-05-18,30-06-18,,3,,,,,,14,1,,,,,,,,,,,
,2018,4,NC,,,,Red_Porgy,01-07-18,31-08-18,,3,,,,,,14,1,,,,,,,,,,,
,2018,5,NC,,,,Red_Porgy,01-09-18,31-10-18,,3,,,,,,14,1,,,,,,,,,,,
,2018,6,NC,,,,Red_Porgy,01-11-18,31-12-18,,3,,,,,,14,1,,,,,,,,,,,
,1991,1,SC,,,,Red_Porgy,01-01-91,28-02-91,,,,,,,,0,,,,,,,,,,,,
,1991,2,SC,,,,Red_Porgy,01-03-91,30-04-91,,,,,,,,0,,,,,,,,,,,,
,1991,3,SC,,,,Red_Porgy,01-05-91,30-06-91,,,,,,,,0,,,,,,,,,,,,
,1991,4,SC,,,,Red_Porgy,01-07-91,31-08-91,,,,,,,,0,,,,,,,,,,,,
,1991,5,SC,,,,Red_Porgy,01-09-91,31-10-91,,,,,,,,0,,,,,,,,,,,,
,1991,6,SC,,,,Red_Porgy,01-11-91,31-12-91,,,,,,,,0,,,,,,,,,,,,
,1992,1,SC,,,,Red_Porgy,01-01-92,29-02-92,,,,,,,,12,1,,,,,,,,,,,
,1992,2,SC,,,,Red_Porgy,01-03-92,30-04-92,,,,,,,,12,1,,,,,,,,,,,
,1992,3,SC,,,,Red_Porgy,01-05-92,30-06-92,,,,,,,,12,1,,,,,,,,,,,
,1992,4,SC,,,,Red_Porgy,01-07-92,31-08-92,,,,,,,,12,1,,,,,,,,,,,
,1992,5,SC,,,,Red_Porgy,01-09-92,31-10-92,,,,,,,,12,1,,,,,,,,,,,
,1992,6,SC,,,,Red_Porgy,01-11-92,31-12-92,,,,,,,,12,1,,,,,,,,,,,
,1993,1,SC,,,,Red_Porgy,01-01-93,28-02-93,,,,,,,,12,1,,,,,,,,,,,
,1993,2,SC,,,,Red_Porgy,01-03-93,30-04-93,,,,,,,,12,1,,,,,,,,,,,
,1993,3,SC,,,,Red_Porgy,01-05-93,30-06-93,,,,,,,,12,1,,,,,,,,,,,
,1993,4,SC,,,,Red_Porgy,01-07-93,31-08-93,,,,,,,,12,1,,,,,,,,,,,
,1993,5,SC,,,,Red_Porgy,01-09-93,31-10-93,,,,,,,,12,1,,,,,,,,,,,
,1993,6,SC,,,,Red_Porgy,01-11-93,31-12-93,,,,,,,,12,1,,,,,,,,,,,
,1994,1,SC,,,,Red_Porgy,01-01-94,28-02-94,,,,,,,,12,1,,,,,,,,,,,
,1994,2,SC,,,,Red_Porgy,01-03-94,30-04-94,,,,,,,,12,1,,,,,,,,,,,
,1994,3,SC,,,,Red_Porgy,01-05-94,30-06-94,,,,,,,,12,1,,,,,,,,,,,
,1994,4,SC,,,,Red_Porgy,01-07-94,31-08-94,,,,,,,,12,1,,,,,,,,,,,
,1994,5,SC,,,,Red_Porgy,01-09-94,31-10-94,,,,,,,,12,1,,,,,,,,,,,
,1994,6,SC,,,,Red_Porgy,01-11-94,31-12-94,,,,,,,,12,1,,,,,,,,,,,
,1995,1,SC,,,,Red_Porgy,01-01-95,28-02-95,,,,,,,,12,1,,,,,,,,,,,
,1995,2,SC,,,,Red_Porgy,01-03-95,30-04-95,,,,,,,,12,1,,,,,,,,,,,
,1995,3,SC,,,,Red_Porgy,01-05-95,30-06-95,,,,,,,,12,1,,,,,,,,,,,
,1995,4,SC,,,,Red_Porgy,01-07-95,31-08-95,,,,,,,,12,1,,,,,,,,,,,
